,theta_mom,theta_me,theta_btm,,,,,
228,0.004592836668079095,-0.053306477,0.08140806827514063,,,,,
229,0.05502267882683813,-0.008361077,0.08112080184386965,,,,,
230,0.01832406910543153,0.03874468402938809,0.07771700308461699,,,,,
231,0.04117073115281347,0.05493441443565432,0.020944606312824535,,,,,
232,0.04117073115281347,0.05493441443565432,0.020944606312824535,,,,,
233,0.007929026126826846,0.027087665541606142,0.0028422194033543777,,,,,
234,0.013489122331598,0.020930810875603275,-0.021173265,,,,,
235,0.013489122331598,0.020930810875603275,-0.021173265,,,,,
236,0.0048914306702984595,0.01887064728642781,0.0029940863387760246,,,,,
237,0.021359315888200954,0.03667032271173783,0.03683779893466804,,,,,
238,0.021359315888200954,0.03667032271173783,0.03683779893466804,,,,,
239,0.021359315888200954,0.03667032271173783,0.03683779893466804,,,,,
240,0.021359315888200954,0.03667032271173783,0.03683779893466804,,,,,
241,0.020049691788905873,0.004781340079352485,0.04114108419489624,,,,,
242,0.012920981324180115,-0.000432508,0.09203219713808548,,,,,
243,0.012920981324180115,-0.000432508,0.09203219713808548,,,,,
244,0.012920981324180115,-0.000432508,0.09203219713808548,,,,,
245,0.014800958148650767,-0.014367496,0.0851228019336754,,,,,
246,0.014800958148650767,-0.014367496,0.0851228019336754,,,,,
247,0.029926826829258235,0.011564365766024674,0.10249907075576556,,,,,
248,0.029926826829258235,0.011564365766024674,0.10249907075576556,,,,,
249,0.029926826829258235,0.011564365766024674,0.10249907075576556,,,,,
250,0.07415870398711281,0.02481797623704522,0.11555214908290554,,,,,
251,0.09343088809012537,0.05147075112836361,0.11212107659015641,,,,,
252,0.08940108911516689,-0.012644191,0.04533913596031859,,,,,
253,0.05082714243990054,-0.033248584,0.034755896430706125,,,,,
254,0.08091881879778148,0.03286709110739752,0.01363761953815346,,,,,
255,0.08091881879778148,0.03286709110739752,0.01363761953815346,,,,,
256,0.05872859740631198,0.052802092401217915,0.03325754698115242,,,,,
257,0.027723665269617555,0.06939595983320389,-0.00540012,,,,,
258,0.027723665269617555,0.06939595983320389,-0.00540012,,,,,
259,0.027723665269617555,0.06939595983320389,-0.00540012,,,,,
260,-0.006740329,0.08901971594385699,-0.051368385,,,,,
261,0.00073358046392538,0.11175439694733,0.015360265136100136,,,,,
262,-0.027098306,0.12532546870225408,0.019225155607509526,,,,,
263,-0.001914239,0.0963306793442935,0.06024802902324926,,,,,
264,-0.024885281,0.056963370741603146,0.047484040278939196,,,,,
265,-0.034111329,0.041969573513753675,0.06771242172535248,,,,,
266,-0.034111329,0.041969573513753675,0.06771242172535248,,,,,
267,-0.026367176,0.023516949344451393,0.07528690344445735,,,,,
268,0.013778923905823907,-0.017553018,0.054207179783990936,,,,,
269,0.013778923905823907,-0.017553018,0.054207179783990936,,,,,
270,0.013778923905823907,-0.017553018,0.054207179783990936,,,,,
271,0.06266455550272648,0.03924241454274634,0.06198385609959871,,,,,
272,0.06266455550272648,0.03924241454274634,0.06198385609959871,,,,,
273,0.06766953165920682,-0.01603383,0.06143864992252069,,,,,
274,0.08583599766876807,-0.0107089,0.02022331667010944,,,,,
275,0.12151334081221336,-0.043329688,-0.02087846,,,,,
276,0.13044156019071046,-0.019333171,-0.065436746,,,,,
277,0.062186347082131,-0.041658207,-0.019105654,,,,,
278,0.062186347082131,-0.041658207,-0.019105654,,,,,
279,0.062186347082131,-0.041658207,-0.019105654,,,,,
280,0.062186347082131,-0.041658207,-0.019105654,,,,,
281,0.062186347082131,-0.041658207,-0.019105654,,,,,
282,0.005105250166152181,-0.063073845,0.009656100904846147,,,,,
283,0.08955357922083387,-0.04019632,-0.026471068,,,,,
284,0.09222167772680075,-0.067988143,-0.014876726,,,,,
285,0.11191101341850587,-0.018626429,-0.018477591,,,,,
286,0.07233891357761768,-0.016208336,0.016781611354832485,,,,,
287,0.02245678308226331,-0.038521081,0.003653362639736153,,,,,
288,0.02245678308226331,-0.038521081,0.003653362639736153,,,,,
289,-0.001132819,-0.025449099,0.006741649413243061,,,,,
290,-0.031425086,-0.060056317,-0.035861008,,,,,
291,-0.031425086,-0.060056317,-0.035861008,,,,,
292,-0.012548372,-0.053859934,-0.011973803,,,,,
293,-0.003294491,0.0042845276173710325,0.05260020029974998,,,,,
294,-0.034879749,0.007626901493385857,0.008512575358786828,,,,,
295,-0.034879749,0.007626901493385857,0.008512575358786828,,,,,
296,-0.034879749,0.007626901493385857,0.008512575358786828,,,,,
